,chill_time,force,scenario,Estimate,Est.Error,Q2.5,Q97.5,Taxa,germination,fresh,germinated,seedbank
155,84.55868335,1,warming,0.991017006,0.004850991,0.979082549,0.997307719,P.virginiatum,>80%,331.439647,328.4623267,2.977320253
156,38.6067188,1,warming,0.243566747,0.031811349,0.183390116,0.30794938,P.virginiatum,20-50%,102.9773203,25.08185095,77.8954693
157,67.25430844,1,warming,0.927190539,0.021007161,0.88063268,0.96105045,P.virginiatum,>80%,177.8954693,164.942996,12.95247327
158,47.10679761,1,warming,0.491216178,0.03549457,0.421719183,0.560193078,P.virginiatum,20-50%,112.9524733,55.48408222,57.46839106
159,54.9938238,1,warming,0.72769176,0.036101363,0.653865089,0.794764743,P.virginiatum,50-80%,157.4683911,114.5884506,42.87994049
160,77.86111269,1,warming,0.979635072,0.008958553,0.958184573,0.992276569,P.virginiatum,>80%,142.8799405,139.9702008,2.909739673
161,78.11196352,1,warming,0.98024855,0.008761316,0.959331816,0.99256583,P.virginiatum,>80%,102.9097397,100.8771231,2.032616569
162,30.29620233,1,warming,0.100065146,0.022645393,0.060285497,0.148653413,P.virginiatum,<20%,102.0326166,10.20990866,91.82270791
163,10.67785477,1,warming,0.009390291,0.004661173,0.003027716,0.020440762,P.virginiatum,<20%,191.8227079,1.801271095,190.0214368
164,61.97713331,1,warming,0.867131255,0.028827665,0.804456052,0.915899339,P.virginiatum,>80%,290.0214368,251.4866525,38.53478435
165,74.2222426,1,warming,0.968307506,0.012267723,0.93981398,0.986329516,P.virginiatum,>80%,138.5347843,134.1442716,4.390512759
166,-3.492081412,1,warming,0.001660402,0.001189065,0.000331931,0.004534822,P.virginiatum,<20%,104.3905128,0.173330177,104.2171826
167,55.88046512,1,warming,0.749666153,0.035596384,0.67649712,0.814962786,P.virginiatum,50-80%,204.2171826,153.0947097,51.12247289
168,25.63225316,1,warming,0.057994222,0.016662589,0.030231392,0.094478517,P.virginiatum,<20%,151.1224729,8.764230265,142.3582426
169,58.61766145,1,warming,0.809610526,0.033165923,0.740478686,0.867681882,P.virginiatum,>80%,242.3582426,196.2157844,46.14245823
170,62.63202203,1,warming,0.876432446,0.027878564,0.815372462,0.923245974,P.virginiatum,>80%,146.1424582,128.0839921,18.05846611
171,76.8368121,1,warming,0.976928385,0.009803966,0.953570955,0.990905152,P.virginiatum,>80%,118.0584661,115.3346667,2.723799425
172,25.34011902,1,warming,0.056010868,0.016311674,0.028973729,0.091753283,P.virginiatum,<20%,102.7237994,5.753649172,96.97015025
173,12.8847488,1,warming,0.012312226,0.005717268,0.004252979,0.025819958,P.virginiatum,<20%,196.9701503,2.425141041,194.5450092
174,63.55739481,1,warming,0.888603497,0.026509046,0.830741021,0.932912307,P.virginiatum,>80%,294.5450092,261.7337253,32.81128394
175,54.78994195,1,warming,0.722467395,0.036196704,0.648445598,0.789720145,P.virginiatum,50-80%,132.8112839,95.95182236,36.85946158
176,31.25039268,1,warming,0.111543708,0.023898032,0.069030508,0.162589306,P.virginiatum,<20%,136.8594616,15.26581184,121.5936497
177,50.99070652,1,warming,0.614698282,0.036650112,0.54061166,0.685743209,P.virginiatum,50-80%,221.5936497,136.2132359,85.38041387
178,70.02859026,1,warming,0.947535774,0.01717404,0.908536941,0.974262749,P.virginiatum,>80%,185.3804139,175.6545739,9.725840014
179,32.99987921,1,warming,0.135639916,0.026133702,0.088006296,0.190638131,P.virginiatum,<20%,109.72584,14.88320369,94.84263632
180,51.57550417,1,warming,0.6324188,0.036724582,0.557643776,0.702990182,P.virginiatum,50-80%,194.8426363,123.2221463,71.62049002
181,30.25432126,1,warming,0.099586548,0.022590194,0.059904924,0.148038568,P.virginiatum,<20%,171.62049,17.09109219,154.5293978
182,57.50541494,1,warming,0.786704313,0.034302031,0.715578005,0.848155894,P.virginiatum,50-80%,254.5293978,200.2393751,54.29002275
183,2.828511679,1,warming,0.003587933,0.002205348,0.000891092,0.008898487,P.virginiatum,<20%,154.2900227,0.553582271,153.7364405
184,42.78452155,1,warming,0.355643235,0.033992643,0.290406117,0.422463216,P.virginiatum,20-50%,253.7364405,90.23964845,163.496792
