year,imput_new,germ_perc,seedbank,scenario,species
77,272.1581387,0.426850992,155.9871672,Cc,C.canadensis
78,255.9871672,0.664007235,86.00983614,Cc,C.canadensis
79,186.0098361,0.228554376,143.4964742,Cc,C.canadensis
80,243.4964742,0.434211072,137.7676091,Cc,C.canadensis
81,237.7676091,0.204787511,189.0757722,Cc,C.canadensis
82,289.0757722,0.509921797,141.6697349,Cc,C.canadensis
83,241.6697349,0.060307294,227.0952871,Cc,C.canadensis
84,327.0952871,0.32833077,219.6998395,Cc,C.canadensis
85,319.6998395,0.653830663,110.6702814,Cc,C.canadensis
86,210.6702814,0.556299617,93.47448456,Cc,C.canadensis
87,193.4744846,0.016911789,190.2024849,Cc,C.canadensis
88,290.2024849,0.704647481,85.71203498,Cc,C.canadensis
89,185.712035,0.233274329,142.3901846,Cc,C.canadensis
90,242.3901846,0.090912124,220.3539781,Cc,C.canadensis
91,320.3539781,0.238711765,243.8817146,Cc,C.canadensis
92,343.8817146,0.113905941,304.7115443,Cc,C.canadensis
93,404.7115443,0.453827755,221.0422128,Cc,C.canadensis
94,321.0422128,0.877646003,39.28079787,Cc,C.canadensis
95,139.2807979,0.463759498,74.68800491,Cc,C.canadensis
96,174.6880049,0.845683804,26.95718845,Cc,C.canadensis
97,126.9571885,0.11037418,112.9443929,Cc,C.canadensis
98,212.9443929,0.201325917,170.0731677,Cc,C.canadensis
99,270.0731677,0.163528142,225.9086045,Cc,C.canadensis
100,325.9086045,0.189489081,264.1524824,Cc,C.canadensis
1,100,0.987050221,1.294977863,ambient,E.divaricata
2,101.2949779,0.802698703,19.98563054,ambient,E.divaricata
3,119.9856305,0.974025529,3.116563319,ambient,E.divaricata
4,103.1165633,0.697019249,31.24233377,ambient,E.divaricata
5,131.2423338,0.814604496,24.3317386,ambient,E.divaricata
6,124.3317386,0.91529241,10.53184196,ambient,E.divaricata
7,110.531842,0.908551466,10.10797489,ambient,E.divaricata
8,110.1079749,0.800104119,22.01013066,ambient,E.divaricata
9,122.0101307,0.891565405,13.23011908,ambient,E.divaricata
10,113.2301191,0.912144216,9.947920934,ambient,E.divaricata
11,109.9479209,0.871323189,14.14774779,ambient,E.divaricata
12,114.1477478,0.85965223,16.02038181,ambient,E.divaricata
13,116.0203818,0.902935582,11.26145086,ambient,E.divaricata
14,111.2614509,0.846357615,17.09447472,ambient,E.divaricata
15,117.0944747,0.934014643,7.72652073,ambient,E.divaricata
16,107.7265207,0.956766503,4.657394263,ambient,E.divaricata
17,104.6573943,0.984758056,1.5951821,ambient,E.divaricata
18,101.5951821,0.921398242,7.985559965,ambient,E.divaricata
19,107.98556,0.596555314,43.56620037,ambient,E.divaricata
20,143.5662004,0.541802143,65.78172529,ambient,E.divaricata
21,165.7817253,0.947090273,8.771465863,ambient,E.divaricata
22,108.7714659,0.876163875,13.46983682,ambient,E.divaricata
23,113.4698368,0.985915178,1.598202475,ambient,E.divaricata
24,101.5982025,0.713792636,29.07815371,ambient,E.divaricata
25,129.0781537,0.950156024,6.433768346,ambient,E.divaricata
26,106.4337683,0.872963606,13.52096216,ambient,E.divaricata
27,113.5209622,0.27574112,82.21856492,ambient,E.divaricata
28,182.2185649,0.770652926,41.79129473,ambient,E.divaricata
29,141.7912947,0.419526824,82.30604324,ambient,E.divaricata
30,182.3060432,0.923235939,13.9945522,ambient,E.divaricata
31,113.9945522,0.961035045,4.44179263,ambient,E.divaricata
32,104.4417926,0.582099263,43.64630208,ambient,E.divaricata
33,143.6463021,0.785618134,30.79516225,ambient,E.divaricata
34,130.7951623,0.909474151,11.84034316,ambient,E.divaricata
35,111.8403432,0.963277472,4.107060131,ambient,E.divaricata
36,104.1070601,0.2400904,79.11195443,ambient,E.divaricata
37,179.1119544,0.935705578,11.51589959,ambient,E.divaricata
38,111.5158996,0.697077157,33.78071332,ambient,E.divaricata
39,133.7807133,0.860040722,18.72385209,ambient,E.divaricata
40,118.7238521,0.980240679,2.345902672,ambient,E.divaricata
41,102.3459027,0.895094504,10.73664766,ambient,E.divaricata
42,110.7366477,0.802879125,21.8285049,ambient,E.divaricata
43,121.8285049,0.93220925,8.258845684,ambient,E.divaricata
44,108.2588457,0.904569682,10.33117604,ambient,E.divaricata
45,110.331176,0.767642437,25.63628316,ambient,E.divaricata
46,125.6362832,0.837360555,20.43341531,ambient,E.divaricata
47,120.4334153,0.909472539,10.90253125,ambient,E.divaricata
48,110.9025313,0.606971781,43.58782429,ambient,E.divaricata
49,143.5878243,0.756145332,35.01456123,ambient,E.divaricata
